/		CG-6 Survey
/		Survey Name:	MAIN-ZVEB
/		Instrument Serial Number:	000000022090470
/		Created:	2023-04-18 06:05:10
/
/		CG-6 Calibration
/		Operator:	EACH
/		Gcal1 [mGal]:	7941.208000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.031193
/		Y Scale [arc-sec/ADU]:	0.030978
/		X Offset [ADU]:	-38727.250535
/		Y Offset [ADU]:	-43473.881294
/		Temperature Coefficient [mGal/mK]:	-0.125000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	0.011500
/		Drift Zero Time:	2022-09-14 11:11:53
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
3	2023-04-18	06:05:10	5589.8127	2	0.0084	0.0011	5592.1865	-0.2	-4.1	1.1146	-0.0320	0.0003	0.1394	-2.4815	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-18	06:06:10	5589.8110	2	0.0088	0.0011	5592.1846	1.3	-4.3	1.1141	-0.0316	0.0003	0.1393	-2.4816	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-18	06:07:10	5589.8112	2	0.0082	0.0011	5592.1846	1.5	-4.6	1.1110	-0.0312	0.0003	0.1391	-2.4816	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-18	06:08:10	5589.8124	2	0.0090	0.0012	5592.1857	1.5	-3.9	1.1061	-0.0308	0.0002	0.1388	-2.4816	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-18	06:09:10	5589.8116	2	0.0092	0.0012	5592.1842	0.6	-5.9	1.1052	-0.0303	0.0006	0.1388	-2.4816	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-18	06:10:10	5589.8119	2	0.0118	0.0015	5592.1845	2.0	-4.4	1.1095	-0.0299	0.0003	0.1387	-2.4816	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-18	06:11:10	5589.8115	2	0.0112	0.0015	5592.1835	2.8	-4.8	1.1082	-0.0295	0.0005	0.1386	-2.4816	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-18	06:12:10	5589.8115	2	0.0091	0.0012	5592.1832	2.7	-5.9	1.1041	-0.0291	0.0006	0.1384	-2.4816	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-18	06:13:10	5589.8115	2	0.0107	0.0014	5592.1829	2.1	-6.9	1.1131	-0.0287	0.0007	0.1383	-2.4816	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-18	06:14:10	5589.8112	2	0.0113	0.0015	5592.1824	1.2	-6.5	1.0988	-0.0283	0.0005	0.1381	-2.4816	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-18	06:15:10	5589.8130	2	0.0082	0.0011	5592.1835	2.3	-7.6	1.1081	-0.0279	0.0009	0.1381	-2.4816	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-18	06:16:10	5589.8117	2	0.0100	0.0013	5592.1819	2.0	-7.9	1.1030	-0.0275	0.0008	0.1381	-2.4816	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-18	06:17:10	5589.8113	2	0.0108	0.0014	5592.1812	2.5	-8.1	1.1035	-0.0271	0.0009	0.1379	-2.4816	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-18	06:18:10	5589.8111	2	0.0056	0.0007	5592.1807	2.9	-7.9	1.1003	-0.0267	0.0007	0.1380	-2.4817	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-18	06:19:10	5589.8109	2	0.0079	0.0010	5592.1799	3.3	-8.1	1.1073	-0.0263	0.0010	0.1379	-2.4817	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-18	06:20:10	5589.8116	2	0.0075	0.0010	5592.1804	2.3	-7.1	1.1020	-0.0259	0.0007	0.1380	-2.4817	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-18	06:21:10	5589.8098	2	0.0087	0.0011	5592.1782	3.4	-7.8	1.1034	-0.0255	0.0009	0.1378	-2.4817	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-18	06:22:10	5589.8125	2	0.0073	0.0009	5592.1804	3.0	-9.3	1.0999	-0.0251	0.0011	0.1377	-2.4817	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-18	06:23:10	5589.8106	2	0.0084	0.0011	5592.1781	3.1	-8.8	1.0991	-0.0247	0.0012	0.1376	-2.4817	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-18	06:24:10	5589.8095	2	0.0086	0.0011	5592.1768	4.4	-8.3	1.0994	-0.0243	0.0010	0.1377	-2.4817	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-18	06:25:10	5589.8105	2	0.0070	0.0009	5592.1774	3.3	-9.1	1.0977	-0.0239	0.0011	0.1376	-2.4817	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-18	06:26:10	5589.8117	2	0.0095	0.0012	5592.1785	2.7	-9.3	1.0925	-0.0235	0.0009	0.1376	-2.4817	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-18	06:27:10	5589.8112	2	0.0084	0.0011	5592.1768	5.2	-9.7	1.0962	-0.0231	0.0017	0.1375	-2.4817	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-18	06:28:10	5589.8113	2	0.0086	0.0011	5592.1770	6.1	-8.3	1.0969	-0.0227	0.0013	0.1375	-2.4817	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-18	06:29:10	5589.8109	2	0.0074	0.0010	5592.1756	5.2	-10.6	1.0974	-0.0224	0.0020	0.1373	-2.4817	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
